cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
73,32.784856,-117.097149,55.838532,0.05584,2022/1/1,2022/1/25,2022,1,2022,1,24,3.43,38,1.27,36.73,29.98,92.494652,0.01,True,True,False,0.01,62,32.784957,-117.097518,0.0363,32.784792,32.785127,-117.097723,-117.096781,0.0373,0.0881
74,32.755869,-117.109363,55.047967,0.05505,2023/3/8,2023/5/9,2023,3,2023,5,62,8.86,72,8.26,63.74,8.72,92.19247,0.01,True,True,False,0.01,141,32.755925,-117.109545,0.0181,32.755379,32.756294,-117.109941,-117.109336,0.1017,0.0566
75,32.785816,-117.209296,155.862967,0.15586,2022/6/29,2022/8/30,2022,6,2022,8,62,8.86,71,8.21,62.79,8.65,90.401488,0.01,True,True,False,0.01,136,32.785128,-117.208955,0.0828,32.784427,32.786645,-117.209725,-117.207789,0.2466,0.181
76,32.749178,-117.229603,451.996769,0.452,2024/4/17,2024/11/26,2024,4,2024,11,223,31.86,171,49.56,121.44,3.45,90.394907,0.01,True,True,False,0.01,253,32.75043,-117.229212,0.1439,32.745384,32.75322,-117.234363,-117.226177,0.8713,0.7656
77,32.715963,-117.146348,325.997239,0.326,2024/5/1,2024/12/3,2024,5,2024,12,216,30.86,399,187.22,211.78,2.13,90.338189,0.01,True,True,False,0.01,1003,32.716234,-117.147698,0.1299,32.71307,32.718886,-117.149505,-117.142997,0.6467,0.6089
78,32.720992,-117.167287,254.586582,0.25459,2024/3/13,2024/8/6,2024,3,2024,8,146,20.86,219,75.24,143.76,2.91,90.306887,0.01,True,True,False,0.01,553,32.71987,-117.166254,0.1578,32.718772,32.723059,-117.169647,-117.16462,0.4767,0.4703
79,32.726149,-117.16481,310.381853,0.31038,2024/1/3,2024/3/5,2024,1,2024,3,62,8.86,234,84.01,149.99,2.79,89.825904,0.01,True,True,False,0.01,1087,32.725876,-117.166477,0.1589,32.72337,32.728347,-117.168033,-117.161546,0.5534,0.6068
80,32.726884,-117.159338,133.161578,0.13316,2022/1/12,2022/7/19,2022,1,2022,7,188,26.86,124,27.65,96.35,4.48,89.764811,0.01,True,True,False,0.01,167,32.726739,-117.159303,0.0165,32.7257,32.728056,-117.160284,-117.158021,0.262,0.2117
81,32.754521,-117.052173,274.804558,0.2748,2022/2/2,2022/8/23,2022,2,2022,8,202,28.86,125,28.22,96.78,4.43,89.306026,0.01,True,True,False,0.01,151,32.754699,-117.054466,0.2154,32.753692,32.755818,-117.054947,-117.051411,0.2364,0.3307
82,32.748387,-117.1026,124.439063,0.12444,2024/4/3,2024/6/11,2024,4,2024,6,69,9.86,62,6.01,55.99,10.31,88.674432,0.01,True,True,False,0.01,77,32.748978,-117.102709,0.0665,32.747604,32.749503,-117.103476,-117.102058,0.2112,0.1326
